,generated,actual
10,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 12480, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 32932, 62, 1676, 3455, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 1279, 68, 418, 62, 5907, 29]"
11,"[27, 82, 418, 62, 5907, 29, 220, 17635, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 17635, 1279, 68, 418, 62, 5907, 29]"
12,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 30493, 425, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 685, 4528, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 220, 1279, 68, 418, 62, 5907, 29]"
13,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 4528, 86, 66, 62, 39239, 774, 60, 1279, 68, 418, 62, 5907, 29]"
14,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 4528, 86, 66, 62, 39239, 774, 60, 1279, 68, 418, 62, 5907, 29]"
15,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 32932, 62, 1676, 3455, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 30493, 425, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 12480, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 1279, 68, 418, 62, 5907, 29]"
16,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 32932, 62, 1676, 3455, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 685, 4528, 86, 66, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 32932, 62, 1676, 3455, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 30493, 425, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 685, 4528, 86, 66, 62, 39239, 774, 60, 685, 4528, 86, 66, 62, 259, 687, 282, 60, 1279, 68, 418, 62, 5907, 29]"
17,"[27, 82, 418, 62, 5907, 29, 220, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 34470, 9449, 62, 32932, 62, 70, 2871, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 34470, 9449, 62, 32932, 62, 70, 2871, 60, 1279, 68, 418, 62, 5907, 29]"
18,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 12480, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 69, 5275, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 1279, 68, 418, 62, 5907, 29]"
19,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 685, 4528, 86, 66, 62, 39239, 774, 60, 1279, 68, 418, 62, 5907, 29]"
20,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 30493, 425, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 4528, 86, 66, 62, 39239, 774, 60, 1279, 68, 418, 62, 5907, 29]"
21,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 12480, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 32932, 62, 1676, 3455, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 69, 5275, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 1279, 68, 418, 62, 5907, 29]"
22,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 30493, 425, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 1279, 68, 418, 62, 5907, 29]"
23,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 685, 4528, 86, 66, 62, 39239, 774, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 32932, 62, 1676, 3455, 60, 685, 30493, 425, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 1279, 68, 418, 62, 5907, 29]"
24,"[27, 82, 418, 62, 5907, 29, 220, 17635, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 17635, 1279, 68, 418, 62, 5907, 29]"
25,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 685, 4528, 86, 66, 62, 39239, 774, 60, 685, 34470, 9449, 62, 32932, 62, 70, 2871, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 1279, 68, 418, 62, 5907, 29]"
26,"[27, 82, 418, 62, 5907, 29, 220, 685, 17089, 62, 6259, 62, 489, 1523, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 1279, 68, 418, 62, 5907, 29]"
27,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 12480, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 32932, 62, 1676, 3455, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 17635, 1279, 68, 418, 62, 5907, 29]"
28,"[27, 82, 418, 62, 5907, 29, 220, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 34470, 9449, 62, 32932, 62, 70, 2871, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 685, 34470, 9449, 62, 32932, 62, 70, 2871, 60, 1279, 68, 418, 62, 5907, 29]"
29,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 1279, 68, 418, 62, 5907, 29]"
30,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 1279, 68, 418, 62, 5907, 29]"
31,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 32932, 62, 1676, 3455, 60, 685, 704, 469, 62, 9127, 62, 32932, 60, 685, 30493, 425, 62, 9127, 62, 32932, 60, 685, 8727, 62, 1676, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 11085, 62, 6259, 62, 12215, 934, 62, 9127, 62, 32932, 60, 685, 32932, 62, 1676, 3455, 60, 685, 8727, 62, 1676, 3455, 60, 1279, 68, 418, 62, 5907, 29]"
32,"[27, 82, 418, 62, 5907, 29, 220, 17635, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 17635, 1279, 68, 418, 62, 5907, 29]"
33,"[27, 82, 418, 62, 5907, 29, 220, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 34470, 9449, 62, 32932, 62, 70, 2871, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 34470, 9449, 62, 32932, 62, 70, 2871, 60, 1279, 68, 418, 62, 5907, 29]"
34,"[27, 82, 418, 62, 5907, 29, 220, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 220, 1279, 68, 418, 62, 5907, 29]","[27, 82, 418, 62, 5907, 29, 685, 32932, 62, 1930, 62, 34086, 3681, 60, 685, 17089, 62, 6259, 62, 12215, 934, 62, 32932, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 1930, 60, 685, 17618, 62, 1659, 62, 26069, 62, 67, 291, 62, 12480, 60, 685, 69, 5275, 62, 9127, 62, 32932, 60, 685, 22682, 62, 1102, 30903, 62, 32932, 60, 685, 4528, 86, 66, 62, 39239, 774, 60, 685, 4528, 86, 66, 62, 259, 687, 282, 60, 1279, 68, 418, 62, 5907, 29]"
